wavelength	Warm LED	Cool LED	HMI	Xenon
454	1.01818181818182000	1.6771929824561400	1.0990990990991000	1.0568181818181800
456	1.08181818181818000	1.7421052631578900	1.1685971685971700	1.0340909090909100
458	1.11818181818182000	1.7333333333333300	1.2226512226512200	1.0056818181818200
460	1.13636363636364000	1.6666666666666700	1.2033462033462000	0.9772727272727270
462	1.11818181818182000	1.5543859649122800	1.1608751608751600	0.9488636363636360
464	1.07272727272727000	1.4192982456140400	1.1093951093951100	0.9147727272727270
466	1.01818181818182000	1.2894736842105300	1.0965250965251000	0.8920454545454550
468	0.92727272727272700	1.1350877192982500	1.0540540540540500	0.8465909090909090
470	0.84272727272727300	1.0245614035087700	1.0643500643500600	0.8181818181818180
472	0.77909090909090900	0.9333333333333330	1.0656370656370700	0.7954545454545450
474	0.71454545454545500	0.8561403508771930	1.0501930501930500	0.7727272727272730
476	0.64272727272727300	0.7771929824561400	1.0489060489060500	0.7443181818181820
478	0.58363636363636400	0.7122807017543860	1.0360360360360400	0.7215909090909090
480	0.54454545454545500	0.6666666666666670	1.0604890604890600	0.7045454545454550
482	0.51000000000000000	0.6298245614035090	1.0450450450450500	0.6818181818181820
484	0.48727272727272700	0.6070175438596490	1.0012870012870000	0.6818181818181820
486	0.46545454545454500	0.5947368421052630	1.0012870012870000	0.6704545454545450
488	0.44909090909090900	0.5894736842105260	1.0051480051480100	0.6590909090909090
490	0.43545454545454500	0.5929824561403510	1.0218790218790200	0.6590909090909090
492	0.43000000000000000	0.6140350877192980	1.0077220077220100	0.6647727272727270
494	0.43454545454545500	0.6368421052631580	1.0038610038610000	0.6704545454545450
496	0.44909090909090900	0.6561403508771930	0.9845559845559850	0.6761363636363640
498	0.48545454545454500	0.6947368421052630	0.9884169884169880	0.6988636363636360
500	0.53363636363636400	0.7350877192982460	1.0296010296010300	0.7159090909090910
502	0.59272727272727300	0.7701754385964910	1.0797940797940800	0.7329545454545450
504	0.67363636363636400	0.8017543859649120	1.1184041184041200	0.7556818181818180
506	0.76272727272727300	0.8385964912280700	1.0926640926640900	0.7784090909090910
508	0.87181818181818200	0.8736842105263160	1.0450450450450500	0.8011363636363640
510	0.98181818181818200	0.9052631578947370	1.0154440154440200	0.8295454545454550
512	1.13636363636364000	0.9456140350877190	1.0128700128700100	0.8636363636363640
514	1.26363636363636000	0.9684210526315790	1.0090090090090100	0.8806818181818180
516	1.40000000000000000	0.9929824561403510	0.9755469755469760	0.9034090909090910
518	1.51818181818182000	1.0140350877193000	0.9369369369369370	0.9261363636363640
520	1.63636363636364000	1.0368421052631600	0.9124839124839130	0.9545454545454550
522	1.70909090909091000	1.0403508771929800	0.8764478764478760	0.9602272727272730
524	1.75454545454545000	1.0526315789473700	0.8931788931788930	0.9772727272727270
